Lenght	Height
mkm	mkm
0.0000	13.1525
0.3133	12.3055
0.6266	12.3055
0.9398	12.3055
1.2531	13.3019
1.5664	13.3268
1.8797	13.3268
2.1930	13.3268
2.5063	13.3268
2.8195	13.3518
3.1328	13.3518
3.4461	13.3518
3.7594	13.3767
4.0727	13.3767
4.3860	13.3767
4.6992	13.3518
5.0125	13.3518
5.3258	13.3518
5.6391	13.3518
5.9524	13.3518
6.2657	13.3518
6.5789	13.3518
6.8922	13.3518
7.2055	13.3518
7.5188	13.3518
7.8321	13.3518
8.1454	13.3518
8.4586	13.3518
8.7719	13.3767
9.0852	13.3767
9.3985	13.3767
9.7118	13.3518
10.0251	13.3518
10.3383	13.3518
10.6516	13.3268
10.9649	13.3268
11.2782	13.3268
11.5915	13.3268
11.9048	13.3268
12.2180	13.3268
12.5313	13.3019
12.8446	13.2770
13.1579	13.2770
13.4712	13.2770
13.7845	13.2770
14.0977	13.3019
14.4110	13.3019
14.7243	13.3019
15.0376	13.3019
15.3509	13.3019
15.6642	13.3019
15.9774	13.3268
16.2907	13.3268
16.6040	13.3268
16.9173	13.3268
17.2306	13.3268
17.5439	13.3019
17.8571	13.3019
18.1704	13.2770
18.4837	13.2770
18.7970	13.2770
19.1103	13.2521
19.4236	13.2521
19.7368	13.2521
20.0501	13.2521
20.3634	13.2521
20.6767	13.2272
20.9900	13.2272
21.3033	13.2272
21.6165	13.2023
21.9298	13.2023
22.2431	12.6792
22.5564	12.6294
22.8697	12.5795
23.1830	12.5297
23.4962	12.4550
23.8095	12.3803
24.1228	12.3055
24.4361	12.1810
24.7494	12.0813
25.0627	11.9568
25.3759	11.8322
25.6892	11.8322
26.0025	11.7326
26.3158	11.6828
26.6291	11.5582
26.9424	11.5333
27.2556	11.3590
27.5689	11.1846
27.8822	10.9604
28.1955	10.7362
28.5088	10.5120
28.8221	10.2629
29.1353	9.9889
29.4486	9.7398
29.7619	9.4907
30.0752	9.2416
30.3885	9.0423
30.7018	8.8680
31.0150	8.7185
31.3283	8.5690
31.6416	8.4196
31.9549	8.3448
32.2682	8.2203
32.5815	8.1705
32.8947	8.1705
33.2080	8.1705
33.5213	8.1705
33.8346	8.1705
34.1479	8.1705
34.4612	8.1705
34.7744	8.1705
35.0877	8.1456
35.4010	8.1456
35.7143	8.1456
36.0276	8.1456
36.3409	8.1456
36.6541	8.1456
36.9674	8.1207
37.2807	8.0957
37.5940	8.0957
37.9073	8.0957
38.2206	8.0957
38.5338	8.0957
38.8471	8.0957
39.1604	8.0957
39.4737	8.0957
39.7870	8.0957
40.1003	8.0957
40.4135	8.0957
40.7268	8.0957
41.0401	8.1207
41.3534	8.1456
41.6667	8.1456
41.9799	8.1456
42.2932	8.1456
42.6065	8.1456
42.9198	8.1456
43.2331	8.1456
43.5464	8.1456
43.8596	8.1456
44.1729	8.1456
44.4862	8.1456
44.7995	8.1207
45.1128	8.0957
45.4261	8.0957
45.7393	8.0957
46.0526	8.1207
46.3659	8.1207
46.6792	8.1456
46.9925	8.1456
47.3058	8.1456
47.6190	8.1456
47.9323	8.1456
48.2456	8.1705
48.5589	8.1705
48.8722	8.1705
49.1855	8.1705
49.4987	8.1705
49.8120	8.1456
50.1253	8.1456
50.4386	8.1456
50.7519	8.1456
51.0652	8.1456
51.3784	8.1456
51.6917	8.1456
52.0050	8.1456
52.3183	8.1456
52.6316	8.1456
52.9449	8.1456
53.2581	8.1705
53.5714	8.1705
53.8847	8.1954
54.1980	8.1954
54.5113	8.1954
54.8246	8.1954
55.1378	8.1954
55.4511	8.1705
55.7644	8.1456
56.0777	8.1456
56.3910	8.1456
56.7043	8.1456
57.0175	8.1456
57.3308	8.1456
57.6441	8.1456
57.9574	8.1456
58.2707	8.1456
58.5840	8.1456
58.8972	8.1456
59.2105	8.1456
59.5238	8.1456
59.8371	8.1456
60.1504	8.1705
60.4637	8.1954
60.7769	8.2452
61.0902	8.3698
61.4035	8.4943
61.7168	8.5939
62.0301	8.7434
62.3434	8.8929
62.6566	9.0423
62.9699	9.3163
63.2832	9.5654
63.5965	9.8145
63.9098	10.1135
64.2231	10.3127
64.5363	10.5867
64.8496	10.8109
65.1629	11.0102
65.4762	11.2593
65.7895	11.6330
66.1028	11.8322
66.4160	11.9319
66.7293	12.1561
67.0426	12.4799
67.3559	12.4799
67.6692	12.7788
67.9825	12.8785
68.2957	13.0528
68.6090	13.1525
68.9223	13.2521
69.2356	13.2521
69.5489	13.3268
69.8622	13.4016
70.1754	13.4016
70.4887	13.5012
70.8020	13.5012
71.1153	13.2521
71.4286	13.2521
71.7419	13.3268
72.0551	13.3268
72.3684	13.3268
72.6817	13.3268
72.9950	13.3268
73.3083	13.3268
73.6216	13.3268
73.9348	13.3518
74.2481	13.3518
74.5614	13.3518
74.8747	13.3518
75.1880	13.3518
75.5013	13.3518
75.8145	13.3767
76.1278	13.3767
76.4411	13.3767
76.7544	13.3767
77.0677	13.3767
77.3810	13.3767
77.6942	13.3767
78.0075	13.3767
78.3208	13.3767
78.6341	13.3767
78.9474	13.3767
79.2607	13.3767
79.5739	13.3518
79.8872	13.3518
80.2005	13.3518
80.5138	13.3767
80.8271	13.3767
81.1404	13.3767
81.4536	13.4016
81.7669	13.4016
82.0802	13.4016
82.3935	13.3767
82.7068	13.3767
83.0201	13.3767
83.3333	13.3767
83.6466	13.3767
83.9599	13.3767
84.2732	13.3767
84.5865	13.3767
84.8997	13.3767
85.2130	13.3767
85.5263	13.3518
85.8396	13.3518
86.1529	13.3518
86.4662	13.3767
86.7794	13.3767
87.0927	13.3767
87.4060	13.3767
87.7193	13.3518
88.0326	13.3518
