Lenght	Height
mkm	mkm
0,0000	-5,4826
0,1566	-5,4732
0,3132	-5,5389
0,4699	-5,5342
0,6265	-5,5389
0,7831	-5,5389
0,9397	-5,5389
1,0963	-5,5436
1,2529	-5,5436
1,4096	-5,5436
1,5662	-5,5436
1,7228	-5,5436
1,8794	-5,5342
2,0360	-5,5342
2,1926	-5,5342
2,3493	-5,5295
2,5059	-5,5295
2,6625	-5,5295
2,8191	-5,5295
2,9757	-5,5295
3,1323	-5,5295
3,2890	-5,5295
3,4456	-5,5295
3,6022	-5,5295
3,7588	-5,5295
3,9154	-5,5342
4,0720	-5,5389
4,2287	-5,5389
4,3853	-5,5389
4,5419	-5,5389
4,6985	-5,5389
4,8551	-5,5342
5,0117	-5,5295
5,1684	-5,5295
5,3250	-5,5295
5,4816	-5,5295
5,6382	-5,5248
5,7948	-5,5248
5,9514	-5,5201
6,1081	-5,5201
6,2647	-5,5201
6,4213	-5,5201
6,5779	-5,5201
6,7345	-5,5201
6,8912	-5,5201
7,0478	-5,5201
7,2044	-5,5201
7,3610	-5,5201
7,5176	-5,5201
7,6742	-5,5201
7,8309	-5,5201
7,9875	-5,5201
8,1441	-5,5248
8,3007	-5,5248
8,4573	-5,5201
8,6139	-5,5201
8,7706	-5,5201
8,9272	-5,5201
9,0838	-5,5154
9,2404	-5,5154
9,3970	-5,5154
9,5536	-5,5154
9,7103	-5,5107
9,8669	-5,5107
10,0235	-5,5061
10,1801	-5,5061
10,3367	-5,5061
10,4933	-5,5061
10,6500	-5,5061
10,8066	-5,5107
10,9632	-5,5154
11,1198	-5,5154
11,2764	-5,5295
11,4330	-5,5576
11,5897	-5,5905
11,7463	-5,5952
11,9029	-5,5999
12,0595	-5,5999
12,2161	-5,5999
12,3727	-5,5952
12,5294	-5,5670
12,6860	-5,5530
12,8426	-5,5248
12,9992	-5,4826
13,1558	-5,4498
13,3125	-5,3841
13,4691	-5,2106
13,6257	-5,1309
13,7823	-5,0511
13,9389	-4,9714
14,0955	-4,8870
14,2522	-4,8119
14,4088	-4,7322
14,5654	-4,6525
14,7220	-4,5681
14,8786	-4,4883
15,0352	-4,4180
15,1919	-4,3429
15,3485	-4,2913
15,5051	-4,2679
15,6617	-4,2257
15,8183	-4,1647
15,9749	-4,1037
16,1316	-4,0522
16,2882	-4,0099
16,4448	-3,9630
16,6014	-3,9302
16,7580	-3,8927
16,9146	-3,7614
17,0713	-3,7239
17,2279	-3,6770
17,3845	-3,6394
17,5411	-3,5972
17,6977	-3,5597
17,8543	-3,5222
18,0110	-3,4800
18,1676	-3,4471
18,3242	-3,4049
18,4808	-3,3627
18,6374	-3,3393
18,7940	-3,3205
18,9507	-3,3111
19,1073	-3,2830
19,2639	-3,2830
19,4205	-3,2642
19,5771	-3,2408
19,7338	-3,2126
19,8904	-3,2033
20,0470	-3,1892
20,2036	-3,1751
20,3602	-3,1657
20,5168	-3,1470
20,6735	-3,1423
20,8301	-3,1329
20,9867	-3,1235
21,1433	-3,1188
21,2999	-3,1048
21,4565	-3,1001
21,6132	-3,0954
21,7698	-3,0907
21,9264	-3,0860
22,0830	-3,0813
22,2396	-3,0766
22,3962	-3,0766
22,5529	-3,0766
22,7095	-3,0766
22,8661	-3,0766
23,0227	-3,0719
23,1793	-3,0719
23,3359	-3,0766
23,4926	-3,0766
23,6492	-3,0766
23,8058	-3,0766
23,9624	-3,0766
24,1190	-3,0766
24,2756	-3,0766
24,4323	-3,0719
24,5889	-3,0673
24,7455	-3,0673
24,9021	-3,0673
25,0587	-3,0626
25,2153	-3,0579
25,3720	-3,0532
25,5286	-3,0532
25,6852	-3,0532
25,8418	-3,0532
25,9984	-3,0532
26,1551	-3,0579
26,3117	-3,0673
26,4683	-3,0673
26,6249	-3,0673
26,7815	-3,0719
26,9381	-3,0719
27,0948	-3,0719
27,2514	-3,0719
27,4080	-3,0766
27,5646	-3,0766
27,7212	-3,0766
27,8778	-3,0766
28,0345	-3,0719
28,1911	-3,0719
28,3477	-3,0673
28,5043	-3,0673
28,6609	-3,0673
28,8175	-3,0673
28,9742	-3,0626
29,1308	-3,0626
29,2874	-3,0626
29,4440	-3,0626
29,6006	-3,0579
29,7572	-3,0579
29,9139	-3,0532
30,0705	-3,0485
30,2271	-3,0485
30,3837	-3,0438
30,5403	-3,0438
30,6969	-3,0438
30,8536	-3,0438
31,0102	-3,0438
31,1668	-3,0438
31,3234	-3,0438
31,4800	-3,0438
31,6366	-3,0485
31,7933	-3,0485
31,9499	-3,0485
32,1065	-3,0485
32,2631	-3,0485
32,4197	-3,0485
32,5764	-3,0485
32,7330	-3,0485
32,8896	-3,0485
33,0462	-3,0485
33,2028	-3,0438
33,3594	-3,0438
33,5161	-3,0438
33,6727	-3,0438
33,8293	-3,0438
33,9859	-3,0438
34,1425	-3,0438
34,2991	-3,0438
34,4558	-3,0438
34,6124	-3,0391
34,7690	-3,0391
34,9256	-3,0391
35,0822	-3,0344
35,2388	-3,0344
35,3955	-3,0344
35,5521	-3,0344
35,7087	-3,0344
35,8653	-3,0344
36,0219	-3,0344
36,1785	-3,0344
36,3352	-3,0391
36,4918	-3,0391
36,6484	-3,0391
36,8050	-3,0391
36,9616	-3,0391
37,1182	-3,0438
37,2749	-3,0438
37,4315	-3,0438
37,5881	-3,0438
37,7447	-3,0438
37,9013	-3,0438
38,0579	-3,0391
38,2146	-3,0391
