Length	Amplitude	Phase
63.9098	43.8164	23.7667
64.2231	-16.5942	-5.82566
64.5363	-0.432877	-9.34368
64.8496	-11.7608	-3.77905
65.1629	-9.41753	-1.73963
65.4762	-4.4909	-9.09518
65.7895	-0.376122	2.454
66.1028	-3.84287	-3.32093
66.416	3.70899	2.61253
66.7293	0.637728	2.45906
67.0426	-3.53805	-9.02878
67.3559	-8.29548	-6.81113
67.6692	17.5494	-11.0686
67.9825	-13.2522	-20.7322
68.2957	-6.51451	-9.06633
68.609	-3.79003	-4.94221
68.9223	1.57444	-9.95459
69.2356	2.05074	-13.9489
69.5489	5.64827	8.13173
69.8622	-4.37511	-4.17224
70.1754	-4.06957	1.9255
70.4887	-9.73095	-15.8662
70.802	-6.74745	-8.85816
71.1153	1.86047	-9.39233
71.4286	3.40685	-0.727028
71.7419	-19.9364	13.7271
72.0551	10.0443	-10.0706
72.3684	3.70701	0.556037
72.6817	-1.01007	-11.9736
72.995	0.374876	-0.69464
73.3083	-5.30694	-1.13555
73.6216	-2.6965	-3.36324
73.9348	1.15964	-2.28075
74.2481	-1.33894	-3.82882
74.5614	0.397653	-2.57409
74.8747	7.95392	2.39514
75.188	0.0410044	0.487192
75.5013	4.64257	7.83813
75.8145	24.2145	-14.2917
76.1278	-6.52439	0.743739
76.4411	-2.75167	-1.95866
76.7544	-1.63944	3.72811
77.0677	-3.59532	-0.0200553
77.381	-10.9157	-3.10146
77.6942	0.547877	-7.8908
78.0075	-3.1689	-5.45722
78.3208	5.01833	-1.42992
78.6341	-1.61456	-3.09281
78.9474	-2.97868	-1.20364
79.2607	-7.29453	-1.40734
79.5739	-11.5815	-12.5101
79.8872	1.47202	7.17729
80.2005	-6.9364	-3.42673
80.5138	4.10554	-3.13014
80.8271	-6.43631	-7.62104
81.1404	-2.33175	-6.03918
81.4536	2.33996	-0.149096
81.7669	-3.98087	-0.731853
82.0802	-0.854334	-1.36628
82.3935	-5.04555	-2.52169
82.7068	-5.61445	1.67795
83.0201	0.766202	-3.78015
83.3333	-0.657841	1.40854
83.6466	3.20415	12.9119
83.9599	-2.25302	-14.1011
84.2732	0.146392	-1.77182
84.5865	-4.69424	-6.19465
84.8997	-2.19181	-3.68182
85.213	-1.51986	-5.69289
85.5263	1.09558	-4.12239
85.8396	0.268399	-3.44509
86.1529	-0.539621	-1.96847
86.4662	-3.07101	-6.59939
86.7794	-1.52483	-6.20849
87.0927	-4.4114	-5.42352
87.406	1.62437	-5.04744
87.7193	-2.78633	-6.1464
88.0326	-3.07075	-3.7474
88.3459	-0.871283	-3.35151
88.6591	0.300232	-4.58823
88.9724	-1.09237	-1.09344
89.2857	-4.01964	-0.906952
89.599	-1.72955	-5.06804
89.9123	-2.18643	-3.19632
90.2256	-1.69442	-6.3411
90.5388	-4.84302	-3.81616
90.8521	0.699597	-1.33088
91.1654	-3.55672	-2.05649
91.4787	-5.64643	-2.49692
91.792	5.66199	-7.00393
92.1053	-1.42437	-2.65348
92.4185	-0.402813	-6.47933
92.7318	-0.712198	-2.48479
93.0451	0.855332	-2.68836
93.3584	0.478409	-1.22781
93.6717	-1.13486	-2.94987
93.985	-1.58751	-4.58519
94.2982	-1.23533	-3.98886
94.6115	-0.989339	-3.72842
94.9248	-1.73722	-4.61034
95.2381	0.275569	-3.07183
95.5514	0.551977	-3.81678
95.8647	-2.36864	-4.88121
96.1779	-0.931861	-1.3938
96.4912	-2.20158	-3.4487
96.8045	-1.28191	-2.97519
97.1178	-1.89555	-2.99508
97.4311	-1.29801	-4.3009
97.7444	-0.649982	-4.79296
98.0576	-0.944856	-3.1311
98.3709	-0.138854	-2.91347
98.6842	-1.18774	-1.69026
98.9975	-0.328956	-3.06173
99.3108	-1.20624	-2.45723
99.6241	1.02769	-2.37006
99.9373	-3.18147	-2.42836
100.251	-2.59262	-3.81977
100.564	-2.23235	-2.55878
100.877	-0.738283	-3.4926
101.191	-1.82899	-3.87366
101.504	-0.852174	-4.2498
101.817	-0.820272	-4.41599
102.13	-1.36633	-3.47202
102.444	-0.492501	-3.98078
102.757	-1.75814	-4.0426
103.07	0.185258	-3.80596
103.383	-1.43179	-2.12251
103.697	-5.55112	0.0982338
104.01	-1.4588	-2.86005
104.323	-0.921587	-0.232906
104.637	-1.52406	-4.54834
104.95	-2.28458	-4.28199
105.263	-1.59778	-3.11571
105.576	-0.553838	-2.12832
105.89	-1.70662	-1.69402
106.203	-4.65007	-1.16526
106.516	-2.18064	-3.22279
106.83	-2.08046	-2.58769
107.143	-1.77001	-3.72136
107.456	-1.606	-2.05521
107.769	-2.90477	-5.53497
108.083	-0.988381	-5.07653
108.396	-1.37193	-4.26984
108.709	-1.62691	-4.04896
109.023	-0.130263	-4.74215
109.336	-2.35633	-2.30412
109.649	-0.682401	-4.68795
109.962	-1.4422	-2.64453
110.276	-0.046487	-5.22105
110.589	-2.81039	-5.40667
110.902	-2.02261	-4.02831
111.216	-2.65978	-5.02705
111.529	-6.15252	-5.31829
111.842	2.41507	-0.416148
112.155	-2.01324	-4.98703
112.469	1.78542	-6.14032
112.782	-1.14692	-4.15936
113.095	-1.8968	-2.81504
113.409	-2.8737	-2.0775
113.722	-1.08423	-3.2802
114.035	-1.14405	-4.94495
114.348	-2.01774	-4.04437
114.662	-2.6056	-2.862
114.975	1.06748	-6.29685
115.288	-1.16294	-1.24689
115.602	4.59497	0.493066
115.915	1.58493	-4.02001
116.228	1.70843	-2.99418
116.541	-1.17045	-0.0688234
116.855	-1.04931	-2.50726
117.168	-3.71989	-3.82787
117.481	3.59627	-2.11555
117.794	0.233566	-4.97139
118.108	0.631513	-1.1453
118.421	-1.96992	-5.09569
118.734	-0.0110299	-4.71953
119.048	1.70635	-5.98556
119.361	3.62583	-3.01436
119.674	-3.02082	2.97138
119.987	-3.58771	-2.32433
120.301	-0.36288	-0.093663
120.614	-2.12448	-4.82256
120.927	-4.19909	-3.15174
121.241	-4.6965	-1.65817
121.554	-0.889153	-3.57553
121.867	-1.50091	-1.08117
122.18	-3.63534	-4.48914
122.494	-1.6429	-1.20238
122.807	2.22921	0.109258
123.12	-3.47891	0.0371008
123.434	-3.29473	2.08597
123.747	1.46546	-9.5903
124.06	-4.8366	-3.61984
124.373	-2.20616	-9.9218
124.687	-0.557147	-5.24264
125	0.272251	-2.33107
125.313	0.832687	0.669745
125.627	-1.75893	-4.44285
125.94	-2.23326	-3.02976
126.253	1.88348	-6.00988
126.566	-0.368822	-5.88607
126.88	-1.94449	-4.70963
127.193	-2.31856	-2.04111
127.506	-3.42142	-11.0641
127.82	1.01409	-4.38034
128.133	-1.58736	-2.05003
128.446	4.02868	-6.39253
128.759	-1.80322	-6.75449
129.073	-3.91692	-5.97333
129.386	2.25376	-4.93845
129.699	-2.60242	-3.13389
130.012	0.460462	-5.09469
130.326	-4.75385	-2.48264
130.639	-4.63391	-2.26924
130.952	-6.68363	-8.31337
131.266	4.43299	-5.48853
131.579	8.90635	4.19061
131.892	1.77348	-8.30354
132.206	7.90394	-1.39304
132.519	-1.7051	-0.704854
132.832	-2.65285	-0.248465
133.145	-2.44913	-3.44469
133.459	2.06014	-5.78853
133.772	2.65836	-4.33352
134.085	1.91408	-0.462464
134.399	-1.57261	-5.43076
134.712	1.25549	-3.75809
135.025	0.125017	-1.65058
135.338	4.86089	-4.42302
135.652	-4.53006	-4.52861
135.965	-4.3929	-0.796402
136.278	-0.0305129	-4.94917
136.591	0.457716	-9.70214
136.905	1.63624	-2.40569
137.218	-0.939579	1.44358
137.531	-3.66418	-8.33325
137.845	1.49087	-2.34023
138.158	-6.13742	-10.1855
138.471	-4.77433	-1.42032
138.785	2.49968	-0.0707438
139.098	-0.0124744	4.21591
139.411	-12.1526	1.23736
139.724	4.10466	-6.17279
140.038	-2.31679	1.10921
140.351	-2.36234	-13.2827
140.664	-5.93907	-2.30439
140.977	-2.384	-2.50385
141.291	3.99723	-2.8482
141.604	-0.253356	-0.787075
141.917	-4.0595	-4.52808
142.231	-0.78791	0.99743
142.544	-0.562911	-0.868048
142.857	-6.4615	-5.75561
143.17	4.19115	-4.5118
143.484	5.89326	-9.44805
143.797	-6.13357	-8.43438
144.11	3.66555	-7.27895
144.424	0.15129	-0.440873
144.737	-4.89014	-2.88991
145.05	-3.05603	-2.19469
145.363	-0.0969066	-10.7922
145.677	-2.07179	-3.93032
145.99	0.599343	-5.49324
146.303	-5.82257	-2.5445
146.617	-5.59807	-1.73589
146.93	-1.26518	-2.63521
147.243	-3.90528	-12.1417
147.556	1.15982	6.09191
147.87	0.435895	-3.89424
148.183	5.17134	-4.52114
148.496	-6.81483	-9.26854
148.81	2.34123	-1.01795
149.123	1.25135	-0.0546738
149.436	-3.9367	-1.20266
149.749	0.591378	-1.81154
150.063	-10.2128	-0.243383
150.376	0.361451	-0.558473
150.689	9.21984	-8.71328
151.002	4.12009	0.420603
151.316	1.35917	1.00674
151.629	-0.145524	-12.6918
151.942	-0.067574	0.476066
152.256	-7.65616	-6.03203
152.569	1.43976	-1.02469
152.882	1.30913	-3.38135
153.196	4.06663	-5.35999
153.509	-1.78858	-2.56652
153.822	-2.18447	-2.09973
154.135	2.6229	-4.82416
154.449	0.884927	-2.07689
154.762	-2.98172	-0.768208
155.075	1.67305	-6.78651
155.388	-6.97837	-3.44964
155.702	-0.931134	-2.62662
156.015	0.632196	-1.79664
156.328	1.04805	-4.00218
156.642	-5.43446	-1.14115
156.955	-5.83309	-1.1967
157.268	-3.92977	-6.02173
157.582	-1.65357	-0.259765
157.895	-2.47519	-7.11433
158.208	1.27075	3.73407
158.521	3.96206	2.95201
158.835	-3.81694	0.815775
159.148	-3.63559	-5.5581
159.461	9.75357	-4.1693
159.774	-7.6287	-3.65682
160.088	-1.64883	-10.1906
160.401	-11.4731	-8.01842
160.714	1.8457	-1.3426
161.028	3.6438	-1.59361
161.341	-1.00882	-4.85661
161.654	-1.62393	-8.15732
161.967	-1.14483	0.221441
162.281	0.201636	-5.17455
162.594	-4.84631	-8.99977
162.907	2.63532	-4.48267
163.221	-2.20462	-7.97713
163.534	-7.28148	-5.54175
163.847	2.32643	-2.54019
164.16	-1.85814	-1.8534
164.474	1.6927	-7.27938
164.787	-0.258475	-4.32084
165.1	1.53247	-4.64991
165.413	-1.57875	-0.273166
165.727	-0.218963	-0.682889
166.04	-4.17937	0.0869937
166.353	-0.118251	-0.138644
166.667	0.784275	-3.84843
166.98	2.8678	-5.60083
167.293	-0.44585	2.26056
167.607	2.08858	-7.7533
167.92	1.73833	-2.12781
168.233	-3.4928	-3.7035
168.546	0.969394	2.38036
168.86	0.824397	-0.749726
169.173	-0.346226	-3.60634
169.486	2.23061	-1.8434
169.799	-4.37158	-3.6402
170.113	6.32646	-2.95815
170.426	4.79905	-5.90773
170.739	0.768217	-1.01364
171.053	-1.73852	-6.77479
171.366	0.701413	-5.69066
171.679	-3.12628	3.02503
171.993	-1.84827	-1.90066
172.306	0.948303	2.29106
172.619	-0.348438	-1.87517
172.932	-0.685793	-2.96106
173.246	-4.91098	-1.76521
173.559	-1.95938	-2.7806
173.872	-0.146809	-2.39037
174.185	-0.237681	-1.90574
174.499	-0.938325	-3.14622
174.812	0.150456	-2.12035
175.125	-4.95878	-1.72061
175.439	0.721338	-0.944355
175.752	0.311837	-2.42732
176.065	-1.56534	-2.99581
176.378	-2.25023	-0.907794
176.692	1.55735	-3.85125
177.005	0.760292	-3.92174
177.318	1.10676	-1.12455
177.632	2.30055	-2.85805
177.945	2.44721	2.65725
178.258	0.447118	-2.45106
178.571	-1.89832	-5.29302
178.885	0.0268289	-5.38476
179.198	-1.49812	-1.54748
179.511	-5.58672	-4.08906
179.825	-0.438636	-4.2368
180.138	-1.2258	-2.02067
180.451	2.5475	-3.87905
180.764	0.40459	-5.05848
181.078	-0.941222	-6.03731
181.391	1.05542	-3.39918
181.704	0.347799	-0.319746
182.018	0.161357	-4.83754
182.331	-0.826582	-4.87904
182.644	-0.0166452	-2.19211
182.957	-1.75834	-3.93213
183.271	-0.0848764	-0.602801
183.584	3.01557	-1.50782
183.897	1.262	-1.93032
184.21	1.42588	-3.03714
184.524	-0.162587	-1.65675
184.837	0.317987	-0.872704
185.15	-0.940625	1.31356
185.464	0.202696	-1.75596
185.777	-0.969853	-2.34405
186.09	1.07305	-4.92165
186.404	1.13254	-4.8715
186.717	1.1098	-3.54118
187.03	-1.03338	-1.68181
187.343	1.79476	-5.47457
187.657	1.47912	-2.16113
