Lenght	Height
mkm	mkm
0.0000	-4.6056
0.1566	-4.4414
0.3132	-4.5258
0.4699	-4.5165
0.6265	-4.5165
0.7831	-4.5118
0.9397	-4.5118
1.0963	-4.5118
1.2529	-4.5071
1.4096	-4.5071
1.5662	-4.5071
1.7228	-4.5071
1.8794	-4.5165
2.0360	-4.5212
2.1926	-4.5212
2.3493	-4.5212
2.5059	-4.5212
2.6625	-4.5212
2.8191	-4.5212
2.9757	-4.5305
3.1323	-4.5305
3.2890	-4.5305
3.4456	-4.5305
3.6022	-4.5305
3.7588	-4.5305
3.9154	-4.5258
4.0720	-4.5165
4.2287	-4.5165
4.3853	-4.5165
4.5419	-4.5118
4.6985	-4.5118
4.8551	-4.5071
5.0117	-4.5071
5.1684	-4.5071
5.3250	-4.5071
5.4816	-4.5071
5.6382	-4.5071
5.7948	-4.5071
5.9514	-4.5024
6.1081	-4.5024
6.2647	-4.5024
6.4213	-4.5024
6.5779	-4.5024
6.7345	-4.4977
6.8912	-4.4977
7.0478	-4.4977
7.2044	-4.4977
7.3610	-4.4977
7.5176	-4.4977
7.6742	-4.4977
7.8309	-4.4977
7.9875	-4.4977
8.1441	-4.4977
8.3007	-4.4977
8.4573	-4.4977
8.6139	-4.4977
8.7706	-4.4930
8.9272	-4.4883
9.0838	-4.4883
9.2404	-4.4883
9.3970	-4.4883
9.5536	-4.4836
9.7103	-4.4883
9.8669	-4.4883
10.0235	-4.4930
10.1801	-4.4977
10.3367	-4.4977
10.4933	-4.5071
10.6500	-4.5118
10.8066	-4.5212
10.9632	-4.5305
11.1198	-4.5399
11.2764	-4.5821
11.4330	-4.6525
11.5897	-4.6525
11.7463	-4.6853
11.9029	-4.7088
12.0595	-4.7088
12.2161	-4.7510
12.3727	-4.7510
12.5294	-4.7697
12.6860	-4.7697
12.8426	-4.8119
12.9992	-4.7979
13.1558	-4.7979
13.3125	-4.7979
13.4691	-4.7979
13.6257	-4.7979
13.7823	-4.8072
13.9389	-4.8072
14.0955	-4.8072
14.2522	-4.8072
14.4088	-4.8119
14.5654	-4.8119
14.7220	-4.8119
14.8786	-4.8119
15.0352	-4.8119
15.1919	-4.8119
15.3485	-4.8119
15.5051	-4.8119
15.6617	-4.8119
15.8183	-4.8119
15.9749	-4.8213
16.1316	-4.8495
16.2882	-4.9057
16.4448	-4.8776
16.6014	-4.8776
16.7580	-4.8776
16.9146	-4.8776
17.0713	-4.8729
17.2279	-4.8635
17.3845	-4.8541
17.5411	-4.8072
17.6977	-4.8072
17.8543	-4.7416
18.0110	-4.6994
18.1676	-4.6712
18.3242	-4.6290
18.4808	-4.5962
18.6374	-4.5634
18.7940	-4.5634
18.9507	-4.5493
19.1073	-4.5305
19.2639	-4.5305
19.4205	-4.5305
19.5771	-4.5212
19.7338	-4.5212
19.8904	-4.5212
20.0470	-4.5165
20.2036	-4.5118
20.3602	-4.5118
20.5168	-4.5071
20.6735	-4.5071
20.8301	-4.5024
20.9867	-4.4977
21.1433	-4.4930
21.2999	-4.4883
21.4565	-4.4883
21.6132	-4.4836
21.7698	-4.4836
21.9264	-4.4789
22.0830	-4.4789
22.2396	-4.4789
22.3962	-4.4789
22.5529	-4.4789
22.7095	-4.4789
22.8661	-4.4789
23.0227	-4.4789
23.1793	-4.4836
23.3359	-4.4836
23.4926	-4.4836
23.6492	-4.4789
23.8058	-4.4789
23.9624	-4.4789
24.1190	-4.4789
24.2756	-4.4789
24.4323	-4.4789
24.5889	-4.4789
24.7455	-4.4743
24.9021	-4.4743
25.0587	-4.4743
25.2153	-4.4696
25.3720	-4.4696
25.5286	-4.4696
25.6852	-4.4696
25.8418	-4.4649
25.9984	-4.4649
26.1551	-4.4602
26.3117	-4.4602
26.4683	-4.4602
26.6249	-4.4602
26.7815	-4.4602
26.9381	-4.4602
27.0948	-4.4602
27.2514	-4.4602
